window,side,state,gx,gy,count
0,radiant,adv,46,66,2
0,radiant,adv,18,104,1
0,radiant,adv,65,46,1
0,radiant,adv,114,10,1
0,radiant,adv,111,25,1
0,radiant,adv,102,46,1
0,radiant,adv,95,8,1
0,radiant,adv,94,58,1
0,radiant,adv,78,70,1
0,radiant,adv,78,25,1
0,radiant,adv,76,50,1
0,radiant,adv,72,44,1
0,radiant,adv,64,82,1
0,radiant,adv,21,102,1
0,radiant,adv,54,127,1
0,radiant,adv,52,104,1
0,radiant,adv,51,85,1
0,radiant,adv,45,79,1
0,radiant,adv,44,119,1
0,radiant,adv,30,56,1
0,radiant,disadv,70,48,2
0,radiant,disadv,25,68,1
0,radiant,disadv,25,82,1
0,radiant,disadv,102,46,1
0,radiant,disadv,92,71,1
0,radiant,disadv,80,56,1
0,radiant,disadv,79,37,1
0,radiant,disadv,76,27,1
0,radiant,disadv,74,60,1
0,radiant,disadv,66,46,1
0,radiant,disadv,64,46,1
0,radiant,disadv,60,82,1
0,radiant,disadv,58,74,1
0,radiant,disadv,55,75,1
0,radiant,disadv,54,30,1
0,radiant,disadv,53,94,1
0,radiant,disadv,47,64,1
0,radiant,disadv,45,110,1
0,radiant,disadv,44,66,1
0,radiant,disadv,42,78,1
0,radiant,even,22,84,1
0,radiant,even,26,82,1
0,radiant,even,114,10,1
0,radiant,even,110,23,1
0,radiant,even,102,46,1
0,radiant,even,101,48,1
0,radiant,even,98,38,1
0,radiant,even,88,32,1
0,radiant,even,80,56,1
0,radiant,even,73,60,1
0,radiant,even,70,48,1
0,radiant,even,70,40,1
0,radiant,even,69,50,1
0,radiant,even,67,50,1
0,radiant,even,57,58,1
0,radiant,even,54,127,1
0,radiant,even,53,55,1
0,radiant,even,52,95,1
0,radiant,even,49,87,1
0,radiant,even,44,66,1
1,radiant,adv,100,70,4
1,radiant,adv,124,52,2
1,radiant,adv,33,119,2
1,radiant,adv,70,108,2
1,radiant,adv,95,29,1
1,radiant,adv,86,52,1
1,radiant,adv,90,10,1
1,radiant,adv,90,71,1
1,radiant,adv,90,72,1
1,radiant,adv,91,72,1
1,radiant,adv,91,82,1
1,radiant,adv,11,126,1
1,radiant,adv,97,59,1
1,radiant,adv,83,71,1
1,radiant,adv,103,8,1
1,radiant,adv,107,77,1
1,radiant,adv,111,25,1
1,radiant,adv,112,49,1
1,radiant,adv,117,32,1
1,radiant,adv,118,30,1
1,radiant,disadv,64,82,2
1,radiant,disadv,0,114,1
1,radiant,disadv,87,52,1
1,radiant,disadv,65,41,1
1,radiant,disadv,65,46,1
1,radiant,disadv,66,81,1
1,radiant,disadv,70,48,1
1,radiant,disadv,72,44,1
1,radiant,disadv,72,92,1
1,radiant,disadv,76,26,1
1,radiant,disadv,80,56,1
1,radiant,disadv,87,65,1
1,radiant,disadv,2,78,1
1,radiant,disadv,102,46,1
1,radiant,disadv,106,26,1
1,radiant,disadv,106,27,1
1,radiant,disadv,106,35,1
1,radiant,disadv,108,25,1
1,radiant,disadv,111,24,1
1,radiant,disadv,111,54,1
1,radiant,even,30,120,2
1,radiant,even,90,10,2
1,radiant,even,54,30,2
1,radiant,even,11,126,1
1,radiant,even,104,25,1
1,radiant,even,82,46,1
1,radiant,even,84,62,1
1,radiant,even,88,32,1
1,radiant,even,95,55,1
1,radiant,even,96,20,1
1,radiant,even,98,38,1
1,radiant,even,102,46,1
1,radiant,even,104,61,1
1,radiant,even,72,44,1
1,radiant,even,105,27,1
1,radiant,even,113,25,1
1,radiant,even,116,37,1
1,radiant,even,118,30,1
1,radiant,even,118,31,1
1,radiant,even,119,30,1
