window,side,state,gx,gy,count
0,dire,adv,26,80,1
0,dire,adv,73,97,1
0,dire,adv,77,52,1
0,dire,adv,101,45,1
0,dire,adv,117,11,1
0,dire,disadv,47,70,1
0,dire,disadv,55,35,1
0,dire,disadv,66,52,1
0,dire,disadv,74,32,1
0,dire,disadv,115,41,1
0,dire,even,41,74,1
0,dire,even,55,67,1
0,dire,even,67,53,1
0,dire,even,127,13,1
1,dire,adv,5,124,1
1,dire,adv,28,78,1
1,dire,adv,49,117,1
1,dire,adv,54,67,1
1,dire,adv,73,97,1
1,dire,adv,77,29,1
1,dire,adv,79,74,1
1,dire,adv,94,7,1
1,dire,adv,105,52,1
1,dire,adv,120,37,1
1,dire,disadv,15,103,1
1,dire,disadv,32,119,1
1,dire,disadv,49,69,1
1,dire,disadv,61,95,1
1,dire,disadv,63,27,1
1,dire,disadv,76,47,1
1,dire,disadv,81,35,1
1,dire,disadv,90,15,1
1,dire,disadv,114,32,1
1,dire,disadv,126,13,1
1,dire,even,3,75,2
1,dire,even,-2,111,1
1,dire,even,20,106,1
1,dire,even,47,71,1
1,dire,even,58,59,1
1,dire,even,75,49,1
1,dire,even,89,32,1
1,dire,even,92,3,1
2,dire,adv,6,122,1
2,dire,adv,61,62,1
2,dire,adv,72,67,1
2,dire,adv,75,49,1
2,dire,adv,87,54,1
2,dire,adv,97,71,1
2,dire,adv,125,72,1
2,dire,disadv,34,24,1
2,dire,disadv,36,62,1
2,dire,disadv,44,3,1
2,dire,disadv,48,69,1
2,dire,disadv,67,73,1
2,dire,disadv,71,72,1
2,dire,disadv,75,47,1
2,dire,even,11,124,1
2,dire,even,39,64,1
2,dire,even,45,107,1
2,dire,even,55,67,1
2,dire,even,97,71,1
2,dire,even,119,37,1
3,dire,adv,73,97,2
3,dire,adv,54,67,1
3,dire,adv,72,52,1
3,dire,adv,73,107,1
3,dire,adv,74,107,1
3,dire,disadv,3,75,1
3,dire,disadv,42,119,1
3,dire,disadv,55,35,1
3,dire,disadv,63,81,1
3,dire,disadv,65,83,1
3,dire,disadv,75,78,1
3,dire,even,55,35,2
3,dire,even,76,42,1
3,dire,even,90,56,1
3,dire,even,97,71,1
