window,side,state,gx,gy,count
0,radiant,adv,30,56,2
0,radiant,adv,65,46,1
0,radiant,adv,115,10,1
0,radiant,adv,103,8,1
0,radiant,adv,90,46,1
0,radiant,adv,78,44,1
0,radiant,adv,72,44,1
0,radiant,adv,70,50,1
0,radiant,adv,68,32,1
0,radiant,adv,64,82,1
0,radiant,adv,43,105,1
0,radiant,adv,62,79,1
0,radiant,adv,62,55,1
0,radiant,adv,54,62,1
0,radiant,adv,54,30,1
0,radiant,adv,47,65,1
0,radiant,adv,46,86,1
0,radiant,adv,44,97,1
0,radiant,adv,115,11,1
0,radiant,disadv,1,114,1
0,radiant,disadv,10,116,1
0,radiant,disadv,116,12,1
0,radiant,disadv,115,10,1
0,radiant,disadv,102,46,1
0,radiant,disadv,91,65,1
0,radiant,disadv,90,10,1
0,radiant,disadv,88,32,1
0,radiant,disadv,65,46,1
0,radiant,disadv,64,46,1
0,radiant,disadv,63,49,1
0,radiant,disadv,60,69,1
0,radiant,disadv,53,95,1
0,radiant,disadv,53,62,1
0,radiant,disadv,52,78,1
0,radiant,disadv,50,85,1
0,radiant,disadv,44,72,1
0,radiant,disadv,38,95,1
0,radiant,disadv,36,72,1
0,radiant,disadv,129,16,1
0,radiant,even,102,46,2
0,radiant,even,12,102,1
0,radiant,even,66,62,1
0,radiant,even,101,48,1
0,radiant,even,83,70,1
0,radiant,even,81,20,1
0,radiant,even,78,38,1
0,radiant,even,74,39,1
0,radiant,even,71,77,1
0,radiant,even,65,46,1
0,radiant,even,30,56,1
0,radiant,even,62,55,1
0,radiant,even,57,73,1
0,radiant,even,53,102,1
0,radiant,even,53,62,1
0,radiant,even,53,54,1
0,radiant,even,45,66,1
0,radiant,even,38,70,1
0,radiant,even,115,11,1
1,radiant,adv,18,128,2
1,radiant,adv,1,114,1
1,radiant,adv,88,32,1
1,radiant,adv,72,107,1
1,radiant,adv,73,80,1
1,radiant,adv,75,80,1
1,radiant,adv,79,37,1
1,radiant,adv,80,36,1
1,radiant,adv,80,58,1
1,radiant,adv,94,57,1
1,radiant,adv,72,76,1
1,radiant,adv,96,20,1
1,radiant,adv,97,20,1
1,radiant,adv,109,24,1
1,radiant,adv,109,76,1
1,radiant,adv,127,69,1
1,radiant,adv,72,92,1
1,radiant,adv,66,82,1
1,radiant,adv,11,126,1
1,radiant,adv,66,72,1
1,radiant,disadv,54,30,5
1,radiant,disadv,30,56,3
1,radiant,disadv,110,8,2
1,radiant,disadv,1,114,1
1,radiant,disadv,106,7,1
1,radiant,disadv,96,21,1
1,radiant,disadv,80,56,1
1,radiant,disadv,78,25,1
1,radiant,disadv,74,60,1
1,radiant,disadv,70,48,1
1,radiant,disadv,66,73,1
1,radiant,disadv,62,25,1
1,radiant,disadv,57,59,1
1,radiant,disadv,57,58,1
1,radiant,disadv,49,87,1
1,radiant,disadv,12,126,1
1,radiant,disadv,46,35,1
1,radiant,disadv,44,81,1
1,radiant,disadv,44,79,1
1,radiant,disadv,42,92,1
1,radiant,even,70,48,3
1,radiant,even,0,114,1
1,radiant,even,108,14,1
1,radiant,even,72,44,1
1,radiant,even,80,58,1
1,radiant,even,82,8,1
1,radiant,even,84,54,1
1,radiant,even,100,70,1
1,radiant,even,110,24,1
1,radiant,even,3,100,1
1,radiant,even,113,30,1
1,radiant,even,116,12,1
1,radiant,even,118,24,1
1,radiant,even,120,2,1
1,radiant,even,122,3,1
1,radiant,even,123,3,1
1,radiant,even,64,46,1
1,radiant,even,63,46,1
1,radiant,even,61,77,1
1,radiant,even,57,58,1
2,radiant,adv,49,88,3
2,radiant,adv,104,61,2
2,radiant,adv,18,128,2
2,radiant,adv,72,92,2
2,radiant,adv,1,114,1
2,radiant,adv,80,-2,1
2,radiant,adv,124,70,1
2,radiant,adv,116,35,1
2,radiant,adv,110,75,1
2,radiant,adv,100,70,1
2,radiant,adv,93,8,1
2,radiant,adv,90,98,1
2,radiant,adv,88,114,1
2,radiant,adv,80,73,1
2,radiant,adv,80,58,1
2,radiant,adv,70,107,1
2,radiant,adv,70,48,1
2,radiant,adv,64,82,1
2,radiant,adv,57,58,1
2,radiant,adv,56,93,1
2,radiant,disadv,30,56,3
2,radiant,disadv,52,78,2
2,radiant,disadv,0,114,1
2,radiant,disadv,47,66,1
2,radiant,disadv,120,2,1
2,radiant,disadv,116,3,1
2,radiant,disadv,95,34,1
2,radiant,disadv,89,2,1
2,radiant,disadv,88,32,1
2,radiant,disadv,84,53,1
2,radiant,disadv,80,56,1
2,radiant,disadv,80,-2,1
2,radiant,disadv,64,36,1
2,radiant,disadv,62,69,1
2,radiant,disadv,54,30,1
2,radiant,disadv,46,92,1
2,radiant,disadv,2,78,1
2,radiant,disadv,44,79,1
2,radiant,disadv,41,73,1
2,radiant,disadv,39,69,1
2,radiant,even,72,92,2
2,radiant,even,26,82,1
2,radiant,even,59,82,1
2,radiant,even,104,43,1
2,radiant,even,100,86,1
2,radiant,even,95,43,1
2,radiant,even,82,34,1
2,radiant,even,74,60,1
2,radiant,even,73,40,1
2,radiant,even,72,44,1
2,radiant,even,70,48,1
2,radiant,even,70,1,1
2,radiant,even,65,33,1
2,radiant,even,64,72,1
2,radiant,even,63,64,1
2,radiant,even,57,44,1
2,radiant,even,30,98,1
2,radiant,even,54,124,1
2,radiant,even,54,108,1
2,radiant,even,52,95,1
3,radiant,adv,100,70,4
3,radiant,adv,22,122,1
3,radiant,adv,85,79,1
3,radiant,adv,109,45,1
3,radiant,adv,102,8,1
3,radiant,adv,98,108,1
3,radiant,adv,91,105,1
3,radiant,adv,89,105,1
3,radiant,adv,88,103,1
3,radiant,adv,70,48,1
3,radiant,adv,27,102,1
3,radiant,adv,68,102,1
3,radiant,adv,54,61,1
3,radiant,adv,54,30,1
3,radiant,adv,49,87,1
3,radiant,adv,48,99,1
3,radiant,adv,41,73,1
3,radiant,adv,34,27,1
3,radiant,adv,125,69,1
3,radiant,disadv,30,56,3
3,radiant,disadv,6,53,2
3,radiant,disadv,50,89,1
3,radiant,disadv,100,70,1
3,radiant,disadv,78,38,1
3,radiant,disadv,67,67,1
3,radiant,disadv,67,50,1
3,radiant,disadv,67,32,1
3,radiant,disadv,62,89,1
3,radiant,disadv,62,64,1
3,radiant,disadv,49,87,1
3,radiant,disadv,13,36,1
3,radiant,disadv,42,78,1
3,radiant,disadv,42,77,1
3,radiant,disadv,42,13,1
3,radiant,disadv,40,25,1
3,radiant,disadv,37,70,1
3,radiant,disadv,15,36,1
3,radiant,disadv,110,39,1
3,radiant,even,30,56,3
3,radiant,even,54,30,2
3,radiant,even,72,92,2
3,radiant,even,2,78,1
3,radiant,even,96,56,1
3,radiant,even,87,88,1
3,radiant,even,82,34,1
3,radiant,even,81,56,1
3,radiant,even,60,68,1
3,radiant,even,52,78,1
3,radiant,even,49,88,1
3,radiant,even,45,66,1
3,radiant,even,40,73,1
3,radiant,even,40,24,1
3,radiant,even,39,10,1
3,radiant,even,30,92,1
3,radiant,even,127,71,1
