id,localized_name,hero_name
1,Anti-Mage,Anti-Mage
2,Axe,Axe
3,Bane,Bane
4,Bloodseeker,Bloodseeker
5,Crystal Maiden,Crystal Maiden
6,Drow Ranger,Drow Ranger
7,Earthshaker,Earthshaker
8,Juggernaut,Juggernaut
9,Mirana,Mirana
10,Morphling,Morphling
11,Shadow Fiend,Shadow Fiend
12,Phantom Lancer,Phantom Lancer
13,Puck,Puck
14,Pudge,Pudge
15,Razor,Razor
16,Sand King,Sand King
17,Storm Spirit,Storm Spirit
18,Sven,Sven
19,Tiny,Tiny
20,Vengeful Spirit,Vengeful Spirit
21,Windranger,Windranger
22,Zeus,Zeus
23,Kunkka,Kunkka
25,Lina,Lina
26,Lion,Lion
27,Shadow Shaman,Shadow Shaman
28,Slardar,Slardar
29,Tidehunter,Tidehunter
30,Witch Doctor,Witch Doctor
31,Lich,Lich
32,Riki,Riki
33,Enigma,Enigma
34,Tinker,Tinker
35,Sniper,Sniper
36,Necrophos,Necrophos
37,Warlock,Warlock
38,Beastmaster,Beastmaster
39,Queen of Pain,Queen of Pain
40,Venomancer,Venomancer
41,Faceless Void,Faceless Void
42,Wraith King,Wraith King
43,Death Prophet,Death Prophet
44,Phantom Assassin,Phantom Assassin
45,Pugna,Pugna
46,Templar Assassin,Templar Assassin
47,Viper,Viper
48,Luna,Luna
49,Dragon Knight,Dragon Knight
50,Dazzle,Dazzle
51,Clockwerk,Clockwerk
52,Leshrac,Leshrac
53,Nature's Prophet,Nature's Prophet
54,Lifestealer,Lifestealer
55,Dark Seer,Dark Seer
56,Clinkz,Clinkz
57,Omniknight,Omniknight
58,Enchantress,Enchantress
59,Huskar,Huskar
60,Night Stalker,Night Stalker
61,Broodmother,Broodmother
62,Bounty Hunter,Bounty Hunter
63,Weaver,Weaver
64,Jakiro,Jakiro
65,Batrider,Batrider
66,Chen,Chen
67,Spectre,Spectre
68,Ancient Apparition,Ancient Apparition
69,Doom,Doom
70,Ursa,Ursa
71,Spirit Breaker,Spirit Breaker
72,Gyrocopter,Gyrocopter
73,Alchemist,Alchemist
74,Invoker,Invoker
75,Silencer,Silencer
76,Outworld Destroyer,Outworld Destroyer
77,Lycan,Lycan
78,Brewmaster,Brewmaster
79,Shadow Demon,Shadow Demon
80,Lone Druid,Lone Druid
81,Chaos Knight,Chaos Knight
82,Meepo,Meepo
83,Treant Protector,Treant Protector
84,Ogre Magi,Ogre Magi
85,Undying,Undying
86,Rubick,Rubick
87,Disruptor,Disruptor
88,Nyx Assassin,Nyx Assassin
89,Naga Siren,Naga Siren
90,Keeper of the Light,Keeper of the Light
91,Io,Io
92,Visage,Visage
93,Slark,Slark
94,Medusa,Medusa
95,Troll Warlord,Troll Warlord
96,Centaur Warrunner,Centaur Warrunner
97,Magnus,Magnus
98,Timbersaw,Timbersaw
99,Bristleback,Bristleback
100,Tusk,Tusk
101,Skywrath Mage,Skywrath Mage
102,Abaddon,Abaddon
103,Elder Titan,Elder Titan
104,Legion Commander,Legion Commander
105,Techies,Techies
106,Ember Spirit,Ember Spirit
107,Earth Spirit,Earth Spirit
108,Underlord,Underlord
109,Terrorblade,Terrorblade
110,Phoenix,Phoenix
111,Oracle,Oracle
112,Winter Wyvern,Winter Wyvern
113,Arc Warden,Arc Warden
114,Monkey King,Monkey King
119,Dark Willow,Dark Willow
120,Pangolier,Pangolier
121,Grimstroke,Grimstroke
123,Hoodwink,Hoodwink
126,Void Spirit,Void Spirit
128,Snapfire,Snapfire
129,Mars,Mars
131,Ringmaster,Ringmaster
135,Dawnbreaker,Dawnbreaker
136,Marci,Marci
137,Primal Beast,Primal Beast
138,Muerta,Muerta
145,Kez,Kez
