team_safe,team,combo_ids,combo_names,appearances,wins,win_rate,mid_detected_count,sample_matches
Team Falcons,Team Falcons,66|101|120,66|101|120,7,0,0.000,0,"8525084966,8536705879,8537328580,8538849304,8539067262,8548606633,8582522954"
Team Falcons,Team Falcons,45|100|137,45|100|137,6,0,0.000,0,"8446587536,8539067262,8540357223,8540450895,8540545264,8576406746"
Team Falcons,Team Falcons,58|123|129,58|123|129,6,0,0.000,0,"8447554972,8458323214,8461476910,8537466319,8550149598,8550292837"
Team Falcons,Team Falcons,63|100|120,63|100|120,6,0,0.000,0,"8446788561,8536705879,8537408983,8539982033,8548474254,8580874181"
Team Falcons,Team Falcons,100|102|137,100|102|137,5,0,0.000,0,"8446587536,8539067262,8540357223,8576406746,8580874181"
Team Falcons,Team Falcons,120|123|128,120|123|128,5,0,0.000,0,"8446788561,8458567498,8460035179,8461476910,8512558125"
Team Falcons,Team Falcons,17|72|120,17|72|120,5,0,0.000,0,"8460164236,8525084966,8532316401,8536499892,8582522954"
Team Falcons,Team Falcons,18|58|123,18|58|123,5,0,0.000,0,"8447554972,8449657829,8458460625,8461476910,8527923420"
Team Falcons,Team Falcons,3|72|98,3|72|98,5,0,0.000,0,"8449812647,8528068483,8536499892,8550149598,8550292837"
Team Falcons,Team Falcons,53|64|123,53|64|123,5,0,0.000,0,"8511503985,8526600683,8527923420,8537466319,8580874181"
Team Falcons,Team Falcons,64|79|120,64|79|120,5,0,0.000,0,"8515218704,8516930248,8532316401,8536499892,8539809790"
Team Falcons,Team Falcons,65|66|120,65|66|120,5,0,0.000,0,"8536705879,8537328580,8538849304,8539982033,8582522954"
Team Falcons,Team Falcons,66|102|120,66|102|120,5,0,0.000,0,"8512558125,8536705879,8537328580,8539067262,8548606633"
Team Falcons,Team Falcons,66|120|123,66|120|123,5,0,0.000,0,"8451547891,8458567498,8460035179,8512558125,8538849304"
Team Falcons,Team Falcons,66|120|129,66|120|129,5,0,0.000,0,"8458567498,8525084966,8536705879,8539982033,8548606633"
Team Falcons,Team Falcons,72|98|129,72|98|129,5,0,0.000,0,"8449812647,8456770626,8527782901,8550149598,8550292837"
Team Falcons,Team Falcons,101|102|120,101|102|120,4,0,0.000,0,"8536705879,8537328580,8539067262,8548606633"
Team Falcons,Team Falcons,101|120|129,101|120|129,4,0,0.000,0,"8525084966,8536705879,8548606633,8580434959"
Team Falcons,Team Falcons,11|45|79,11|45|79,4,0,0.000,0,"8447613945,8451671758,8461735141,8461956309"
Team Falcons,Team Falcons,120|123|129,120|123|129,4,0,0.000,0,"8447554972,8458567498,8461476910,8516930248"
Team Falcons,Team Falcons,120|128|129,120|128|129,4,0,0.000,0,"8458567498,8461476910,8525084966,8582154770"
Team Falcons,Team Falcons,13|58|123,13|58|123,4,0,0.000,0,"8458460625,8461613337,8550149598,8550292837"
Team Falcons,Team Falcons,16|120|128,16|120|128,4,0,0.000,0,"8446788561,8460164236,8512558125,8582154770"
Team Falcons,Team Falcons,16|58|123,16|58|123,4,0,0.000,0,"8446788561,8449657829,8458323214,8458460625"
Team Falcons,Team Falcons,16|72|128,16|72|128,4,0,0.000,0,"8460164236,8512558125,8524964454,8582154770"
Team Falcons,Team Falcons,17|64|120,17|64|120,4,0,0.000,0,"8515218704,8532316401,8536499892,8549890849"
Team Falcons,Team Falcons,3|123|129,3|123|129,4,0,0.000,0,"8447703577,8458323214,8550149598,8550292837"
Team Falcons,Team Falcons,3|39|98,3|39|98,4,0,0.000,0,"8528068483,8536597199,8550149598,8550292837"
Team Falcons,Team Falcons,3|49|123,3|49|123,4,0,0.000,0,"8458323214,8515655427,8526600683,8579245952"
Team Falcons,Team Falcons,3|53|129,3|53|129,4,0,0.000,0,"8447703577,8449812647,8458323214,8580434959"
Team Falcons,Team Falcons,3|58|123,3|58|123,4,0,0.000,0,"8449657829,8458323214,8550149598,8550292837"
Team Falcons,Team Falcons,3|98|129,3|98|129,4,0,0.000,0,"8449812647,8536597199,8550149598,8550292837"
Team Falcons,Team Falcons,38|120|129,38|120|129,4,0,0.000,0,"8447554972,8458567498,8539982033,8580434959"
Team Falcons,Team Falcons,38|49|120,38|49|120,4,0,0.000,0,"8458567498,8460035179,8539809790,8580434959"
Team Falcons,Team Falcons,38|49|123,38|49|123,4,0,0.000,0,"8458567498,8460035179,8526600683,8579245952"
Team Falcons,Team Falcons,39|58|123,39|58|123,4,0,0.000,0,"8461476910,8527923420,8550149598,8550292837"
Team Falcons,Team Falcons,45|100|102,45|100|102,4,0,0.000,0,"8446587536,8539067262,8540357223,8576406746"
Team Falcons,Team Falcons,45|102|120,45|102|120,4,0,0.000,0,"8515655427,8539067262,8548606633,8577745816"
Team Falcons,Team Falcons,45|102|137,45|102|137,4,0,0.000,0,"8446587536,8539067262,8540357223,8576406746"
Team Falcons,Team Falcons,45|120|131,45|120|131,4,0,0.000,0,"8446684731,8461735141,8577745816,8580434959"
Team Falcons,Team Falcons,45|66|102,45|66|102,4,0,0.000,0,"8446587536,8539067262,8548606633,8576406746"
Team Falcons,Team Falcons,45|98|137,45|98|137,4,0,0.000,0,"8512870110,8540357223,8540545264,8549982041"
Team Falcons,Team Falcons,49|101|129,49|101|129,4,0,0.000,0,"8524864184,8525084966,8537466319,8580434959"
Team Falcons,Team Falcons,49|120|123,49|120|123,4,0,0.000,0,"8458567498,8460035179,8515655427,8517299077"
Team Falcons,Team Falcons,49|120|131,49|120|131,4,0,0.000,0,"8517299077,8548474254,8577745816,8580434959"
Team Falcons,Team Falcons,49|64|100,49|64|100,4,0,0.000,0,"8539809790,8540450895,8548474254,8576678568"
Team Falcons,Team Falcons,49|64|120,49|64|120,4,0,0.000,0,"8532316401,8539809790,8548474254,8577745816"
Team Falcons,Team Falcons,49|64|131,49|64|131,4,0,0.000,0,"8548474254,8576678568,8577745816,8578012189"
Team Falcons,Team Falcons,49|64|70,49|64|70,4,0,0.000,0,"8526600683,8537466319,8576076065,8578012189"
Team Falcons,Team Falcons,49|64|96,49|64|96,4,0,0.000,0,"8526600683,8537466319,8576076065,8577745816"
Team Falcons,Team Falcons,49|66|128,49|66|128,4,0,0.000,0,"8458567498,8460035179,8524864184,8525084966"
Team Falcons,Team Falcons,49|96|123,49|96|123,4,0,0.000,0,"8460035179,8517299077,8526600683,8537466319"
Team Falcons,Team Falcons,53|96|123,53|96|123,4,0,0.000,0,"8456886907,8511503985,8526600683,8537466319"
Team Falcons,Team Falcons,58|63|120,58|63|120,4,0,0.000,0,"8446684731,8446788561,8537408983,8548474254"
Team Falcons,Team Falcons,58|72|98,58|72|98,4,0,0.000,0,"8527782901,8528068483,8550149598,8550292837"
Team Falcons,Team Falcons,62|64|120,62|64|120,4,0,0.000,0,"8515218704,8536499892,8539809790,8549890849"
Team Falcons,Team Falcons,63|120|131,63|120|131,4,0,0.000,0,"8446684731,8510884183,8548474254,8580434959"
Team Falcons,Team Falcons,63|65|100,63|65|100,4,0,0.000,0,"8446788561,8536705879,8539982033,8548474254"
Team Falcons,Team Falcons,63|65|120,63|65|120,4,0,0.000,0,"8446788561,8536705879,8539982033,8548474254"
Team Falcons,Team Falcons,63|65|128,63|65|128,4,0,0.000,0,"8446350616,8446788561,8514117469,8549982041"
Team Falcons,Team Falcons,63|66|129,63|66|129,4,0,0.000,0,"8446311725,8536597199,8536705879,8539982033"
Team Falcons,Team Falcons,64|100|120,64|100|120,4,0,0.000,0,"8516930248,8539809790,8548474254,8580874181"
Team Falcons,Team Falcons,64|69|120,64|69|120,4,0,0.000,0,"8515218704,8516930248,8539809790,8549890849"
Team Falcons,Team Falcons,64|69|79,64|69|79,4,0,0.000,0,"8515218704,8516930248,8526490115,8539809790"
Team Falcons,Team Falcons,64|72|120,64|72|120,4,0,0.000,0,"8516930248,8532316401,8536499892,8548474254"
Team Falcons,Team Falcons,64|96|123,64|96|123,4,0,0.000,0,"8511503985,8526490115,8526600683,8537466319"
Team Falcons,Team Falcons,65|100|120,65|100|120,4,0,0.000,0,"8446788561,8536705879,8539982033,8548474254"
Team Falcons,Team Falcons,65|101|120,65|101|120,4,0,0.000,0,"8536705879,8537328580,8538849304,8582522954"
Team Falcons,Team Falcons,65|66|101,65|66|101,4,0,0.000,0,"8536705879,8537328580,8538849304,8582522954"
Team Falcons,Team Falcons,66|100|102,66|100|102,4,0,0.000,0,"8446587536,8536705879,8539067262,8576406746"
Team Falcons,Team Falcons,66|101|102,66|101|102,4,0,0.000,0,"8536705879,8537328580,8539067262,8548606633"
Team Falcons,Team Falcons,66|101|129,66|101|129,4,0,0.000,0,"8524864184,8525084966,8536705879,8548606633"
Team Falcons,Team Falcons,66|102|114,66|102|114,4,0,0.000,0,"8446587536,8536705879,8550072085,8576406746"
Team Falcons,Team Falcons,66|102|137,66|102|137,4,0,0.000,0,"8446587536,8512558125,8539067262,8576406746"
Team Falcons,Team Falcons,66|120|128,66|120|128,4,0,0.000,0,"8458567498,8460035179,8512558125,8525084966"
Team Falcons,Team Falcons,66|72|120,66|72|120,4,0,0.000,0,"8512558125,8525084966,8539982033,8582522954"
Team Falcons,Team Falcons,66|96|120,66|96|120,4,0,0.000,0,"8460035179,8514308079,8537328580,8539067262"
Team Falcons,Team Falcons,72|100|123,72|100|123,4,0,0.000,0,"8461854486,8516930248,8532434830,8538982213"
Team Falcons,Team Falcons,72|120|128,72|120|128,4,0,0.000,0,"8460164236,8512558125,8525084966,8582154770"
Team Falcons,Team Falcons,72|120|129,72|120|129,4,0,0.000,0,"8516930248,8525084966,8539982033,8582154770"
Team Falcons,Team Falcons,72|79|120,72|79|120,4,0,0.000,0,"8461735141,8516930248,8532316401,8536499892"
BetBoom Team,BetBoom Team,45|100|137,45|100|137,3,0,0.000,0,"8540357223,8540450895,8540545264"
MOUZ,MOUZ,17|49|72,17|49|72,3,0,0.000,0,"8525084966,8532316401,8532434830"
Team Falcons,Team Falcons,10|39|58,10|39|58,3,0,0.000,0,"8537408983,8550149598,8550292837"
Team Falcons,Team Falcons,10|58|123,10|58|123,3,0,0.000,0,"8449657829,8550149598,8550292837"
Team Falcons,Team Falcons,100|102|114,100|102|114,3,0,0.000,0,"8446587536,8536705879,8576406746"
Team Falcons,Team Falcons,100|102|120,100|102|120,3,0,0.000,0,"8536705879,8539067262,8580874181"
Team Falcons,Team Falcons,100|120|123,100|120|123,3,0,0.000,0,"8446788561,8516930248,8580874181"
Team Falcons,Team Falcons,100|120|129,100|120|129,3,0,0.000,0,"8516930248,8536705879,8539982033"
Team Falcons,Team Falcons,100|120|137,100|120|137,3,0,0.000,0,"8537408983,8539067262,8580874181"
Team Falcons,Team Falcons,102|120|123,102|120|123,3,0,0.000,0,"8512558125,8515655427,8580874181"
Team Falcons,Team Falcons,102|120|137,102|120|137,3,0,0.000,0,"8512558125,8539067262,8580874181"
Team Falcons,Team Falcons,102|123|137,102|123|137,3,0,0.000,0,"8461613337,8512558125,8580874181"
Team Falcons,Team Falcons,109|120|123,109|120|123,3,0,0.000,0,"8451547891,8460035179,8517299077"
Team Falcons,Team Falcons,11|45|120,11|45|120,3,0,0.000,0,"8461735141,8461956309,8577745816"
Team Falcons,Team Falcons,11|45|97,11|45|97,3,0,0.000,0,"8447613945,8451671758,8461956309"
Team Falcons,Team Falcons,11|79|97,11|79|97,3,0,0.000,0,"8447613945,8451671758,8461956309"
Team Falcons,Team Falcons,123|128|129,123|128|129,3,0,0.000,0,"8447703577,8458567498,8461476910"
Team Falcons,Team Falcons,13|99|123,13|99|123,3,0,0.000,0,"8456886907,8458460625,8461613337"
Team Falcons,Team Falcons,16|100|123,16|100|123,3,0,0.000,0,"8446788561,8461854486,8532434830"
Team Falcons,Team Falcons,16|102|120,16|102|120,3,0,0.000,0,"8512558125,8515218704,8548606633"
Team Falcons,Team Falcons,16|120|123,16|120|123,3,0,0.000,0,"8446788561,8451547891,8512558125"
Team Falcons,Team Falcons,16|18|123,16|18|123,3,0,0.000,0,"8449657829,8458460625,8461854486"
Team Falcons,Team Falcons,16|53|123,16|53|123,3,0,0.000,0,"8451547891,8456886907,8458323214"
Team Falcons,Team Falcons,16|53|99,16|53|99,3,0,0.000,0,"8456886907,8458323214,8511224972"
Team Falcons,Team Falcons,16|58|128,16|58|128,3,0,0.000,0,"8446788561,8460164236,8524964454"
Team Falcons,Team Falcons,16|66|120,16|66|120,3,0,0.000,0,"8451547891,8512558125,8548606633"
Team Falcons,Team Falcons,16|66|123,16|66|123,3,0,0.000,0,"8446311725,8451547891,8512558125"
Team Falcons,Team Falcons,16|70|100,16|70|100,3,0,0.000,0,"8446788561,8461854486,8532434830"
Team Falcons,Team Falcons,16|70|123,16|70|123,3,0,0.000,0,"8446788561,8461854486,8532434830"
Team Falcons,Team Falcons,16|72|120,16|72|120,3,0,0.000,0,"8460164236,8512558125,8582154770"
Team Falcons,Team Falcons,16|72|123,16|72|123,3,0,0.000,0,"8461854486,8512558125,8532434830"
Team Falcons,Team Falcons,16|79|100,16|79|100,3,0,0.000,0,"8461854486,8511224972,8532434830"
Team Falcons,Team Falcons,16|79|123,16|79|123,3,0,0.000,0,"8458460625,8461854486,8532434830"
Team Falcons,Team Falcons,16|79|97,16|79|97,3,0,0.000,0,"8451671758,8461854486,8511224972"
Team Falcons,Team Falcons,16|99|123,16|99|123,3,0,0.000,0,"8456886907,8458323214,8458460625"
Team Falcons,Team Falcons,17|100|101,17|100|101,3,0,0.000,0,"8527782901,8539067262,8540189130"
Team Falcons,Team Falcons,17|101|120,17|101|120,3,0,0.000,0,"8525084966,8539067262,8582522954"
Team Falcons,Team Falcons,17|46|120,17|46|120,3,0,0.000,0,"8447554972,8515218704,8582522954"
Team Falcons,Team Falcons,17|49|72,17|49|72,3,0,0.000,0,"8525084966,8532316401,8532434830"
Team Falcons,Team Falcons,17|49|79,17|49|79,3,0,0.000,0,"8532316401,8532434830,8540189130"
Team Falcons,Team Falcons,17|62|120,17|62|120,3,0,0.000,0,"8515218704,8536499892,8549890849"
Team Falcons,Team Falcons,17|62|64,17|62|64,3,0,0.000,0,"8515218704,8536499892,8549890849"
Team Falcons,Team Falcons,17|64|79,17|64|79,3,0,0.000,0,"8515218704,8532316401,8536499892"
Team Falcons,Team Falcons,17|65|98,17|65|98,3,0,0.000,0,"8512870110,8514117469,8582522954"
Team Falcons,Team Falcons,17|66|101,17|66|101,3,0,0.000,0,"8525084966,8539067262,8582522954"
Team Falcons,Team Falcons,17|66|120,17|66|120,3,0,0.000,0,"8525084966,8539067262,8582522954"
Team Falcons,Team Falcons,17|69|120,17|69|120,3,0,0.000,0,"8515218704,8525084966,8549890849"
Team Falcons,Team Falcons,17|72|101,17|72|101,3,0,0.000,0,"8525084966,8527782901,8582522954"
Team Falcons,Team Falcons,17|72|79,17|72|79,3,0,0.000,0,"8532316401,8532434830,8536499892"
Team Falcons,Team Falcons,17|72|98,17|72|98,3,0,0.000,0,"8527782901,8536499892,8582522954"
Team Falcons,Team Falcons,17|79|120,17|79|120,3,0,0.000,0,"8515218704,8532316401,8536499892"
Team Falcons,Team Falcons,17|96|100,17|96|100,3,0,0.000,0,"8527782901,8539067262,8540189130"
Team Falcons,Team Falcons,17|96|101,17|96|101,3,0,0.000,0,"8527782901,8539067262,8540189130"
Team Falcons,Team Falcons,18|120|123,18|120|123,3,0,0.000,0,"8447554972,8461476910,8516930248"
Team Falcons,Team Falcons,18|120|129,18|120|129,3,0,0.000,0,"8447554972,8461476910,8516930248"
Team Falcons,Team Falcons,18|123|129,18|123|129,3,0,0.000,0,"8447554972,8461476910,8516930248"
Team Falcons,Team Falcons,18|39|58,18|39|58,3,0,0.000,0,"8461476910,8527923420,8528068483"
Team Falcons,Team Falcons,18|45|79,18|45|79,3,0,0.000,0,"8447613945,8461735141,8512870110"
Team Falcons,Team Falcons,18|58|120,18|58|120,3,0,0.000,0,"8447554972,8461476910,8528068483"
Team Falcons,Team Falcons,18|72|120,18|72|120,3,0,0.000,0,"8461735141,8516930248,8528068483"
Team Falcons,Team Falcons,18|72|79,18|72|79,3,0,0.000,0,"8461735141,8461854486,8516930248"
Team Falcons,Team Falcons,18|79|123,18|79|123,3,0,0.000,0,"8458460625,8461854486,8516930248"
Team Falcons,Team Falcons,2|64|79,2|64|79,3,0,0.000,0,"8515218704,8526490115,8579245952"
Team Falcons,Team Falcons,28|49|64,28|49|64,3,0,0.000,0,"8532316401,8576678568,8579245952"
Team Falcons,Team Falcons,28|53|123,28|53|123,3,0,0.000,0,"8451547891,8511503985,8527923420"
Team Falcons,Team Falcons,28|64|123,28|64|123,3,0,0.000,0,"8511503985,8527923420,8579245952"
Team Falcons,Team Falcons,3|10|123,3|10|123,3,0,0.000,0,"8449657829,8550149598,8550292837"
Team Falcons,Team Falcons,3|10|58,3|10|58,3,0,0.000,0,"8449657829,8550149598,8550292837"
Team Falcons,Team Falcons,3|101|120,3|101|120,3,0,0.000,0,"8528068483,8537328580,8580434959"
Team Falcons,Team Falcons,3|129|137,3|129|137,3,0,0.000,0,"8447703577,8449812647,8536597199"
Team Falcons,Team Falcons,3|38|49,3|38|49,3,0,0.000,0,"8526600683,8579245952,8580434959"
Team Falcons,Team Falcons,3|39|123,3|39|123,3,0,0.000,0,"8550149598,8550292837,8579245952"
