match,x,y,time_s,lifetime_s,ward_type,side
8448961997,28.0,92.4,18.0,420.0,sen,dire
8448961997,56.400000000000006,76.1,-60.0,360.0,obs,dire
8448961997,69.5,56.2,182.0,170.0,sen,dire
8448961997,24.700000000000003,68.4,-42.0,296.0,obs,dire
8448961997,103.80000000000001,34.5,148.0,420.0,sen,dire
8605215449,45.099999999999994,66.4,260.0,360.0,obs,dire
8605215449,23.400000000000006,98.0,92.0,74.0,sen,dire
8605215449,54.3,63.7,255.0,420.0,sen,dire
8605215449,52.900000000000006,94.30000000000001,-22.0,360.0,obs,dire
8605215449,50.2,64.80000000000001,-22.0,360.0,obs,dire
8605215449,93.69999999999999,27.099999999999994,25.0,32.0,sen,dire
8461476910,82.30000000000001,30.5,105.0,14.0,sen,dire
8461476910,104.1,35.5,202.0,26.0,sen,dire
8461476910,104.1,35.599999999999994,285.0,55.0,sen,dire
8461476910,61.0,60.400000000000006,235.0,4.0,sen,dire
8461476910,66.9,32.3,-52.0,360.0,obs,dire
8461476910,69.69999999999999,38.2,2.0,420.0,sen,dire
8461476910,28.700000000000003,97.0,76.0,420.0,sen,dire
