match,x,y,time_s,lifetime_s,ward_type,side
8539067262,100.80000000000001,36.2,139.0,315.0,sen,radiant
8539067262,33.599999999999994,100.1,281.0,45.0,sen,radiant
8539067262,53.2,61.0,-35.0,360.0,obs,radiant
8539067262,47.0,96.9,-21.0,360.0,obs,radiant
8539067262,31.200000000000003,100.1,117.0,80.0,sen,radiant
8539067262,92.30000000000001,24.400000000000006,261.0,9.0,sen,radiant
8602376621,98.0,30.599999999999994,80.0,420.0,sen,radiant
8602376621,45.900000000000006,112.69999999999999,-51.0,360.0,obs,radiant
8602376621,60.3,75.1,8.0,157.0,obs,radiant
8602376621,31.400000000000006,100.19999999999999,109.0,97.0,sen,radiant
8602376621,20.0,94.9,201.0,420.0,sen,radiant
8446587536,49.5,66.1,-59.0,360.0,obs,radiant
8446587536,26.299999999999997,82.1,240.0,360.0,obs,radiant
8446587536,24.400000000000006,92.6,29.0,89.0,sen,radiant
8446587536,113.5,34.8,300.0,146.0,obs,radiant
8446587536,44.0,68.80000000000001,-31.0,420.0,sen,radiant
8461613337,94.80000000000001,21.200000000000003,114.0,420.0,sen,radiant
8461613337,66.30000000000001,46.2,-1.0,360.0,obs,radiant
8461613337,42.900000000000006,77.80000000000001,-16.0,360.0,obs,radiant
8461613337,32.2,68.0,21.0,420.0,sen,radiant
