match,x,y,time_s,lifetime_s,ward_type,side
8579245952,110.9,25.400000000000006,299.0,360.0,obs,radiant
8579245952,93.69999999999999,27.900000000000006,90.0,110.0,sen,radiant
8579245952,101.0,36.599999999999994,100.0,420.0,sen,radiant
8579245952,93.5,21.0,282.0,420.0,sen,radiant
8579245952,63.3,74.4,-40.0,360.0,obs,radiant
8579245952,58.0,93.9,-52.0,360.0,obs,radiant
8603728193,114.30000000000001,10.200000000000003,255.0,90.0,obs,radiant
8603728193,98.0,36.5,-46.0,420.0,sen,radiant
8603728193,93.6,21.200000000000003,20.0,90.0,sen,radiant
8603728193,93.6,28.099999999999994,236.0,420.0,sen,radiant
8603728193,58.3,56.5,-19.0,360.0,obs,radiant
8603728193,58.0,62.8,262.0,344.0,sen,radiant
8603728193,75.19999999999999,38.400000000000006,-60.0,323.0,obs,radiant
8603728193,31.0,100.1,29.0,201.0,sen,radiant
