match,x,y,time_s,lifetime_s,ward_type,side
8458567498,27.700000000000003,92.4,28.0,420.0,sen,dire
8458567498,34.099999999999994,106.30000000000001,282.0,420.0,sen,dire
8458567498,61.2,76.1,-41.0,360.0,obs,dire
8458567498,82.9,49.099999999999994,-59.0,360.0,obs,dire
8458567498,92.80000000000001,24.599999999999994,29.0,420.0,sen,dire
8447554972,38.599999999999994,103.69999999999999,105.0,420.0,sen,dire
8447554972,29.099999999999994,95.5,266.0,230.0,sen,dire
8447554972,49.900000000000006,66.0,-20.0,355.0,obs,dire
8447554972,60.3,61.2,256.0,5.0,sen,dire
8447554972,81.1,48.7,-60.0,361.0,obs,dire
8461735141,38.599999999999994,103.4,15.0,420.0,sen,dire
8461735141,34.0,72.0,298.0,346.0,sen,dire
8461735141,60.5,69.19999999999999,-28.0,360.0,obs,dire
8461735141,56.0,92.4,-21.0,360.0,obs,dire
8461735141,98.69999999999999,49.0,297.0,360.0,obs,dire
8461735141,97.30000000000001,27.099999999999994,55.0,5.0,sen,dire
8461735141,98.6,27.299999999999997,168.0,8.0,sen,dire
