match,x,y,time_s,lifetime_s,ward_type,side
8540450895,26.099999999999994,92.30000000000001,15.0,420.0,sen,dire
8540450895,38.5,103.69999999999999,76.0,421.0,sen,dire
8540450895,34.900000000000006,73.19999999999999,175.0,420.0,sen,dire
8540450895,67.4,51.099999999999994,-49.0,360.0,obs,dire
8540450895,49.5,87.0,-20.0,360.0,obs,dire
8577745816,26.200000000000003,82.1,294.0,142.0,obs,dire
8577745816,35.0,99.19999999999999,201.0,420.0,sen,dire
8577745816,66.30000000000001,53.400000000000006,-29.0,360.0,obs,dire
8577745816,67.1,55.8,223.0,94.0,sen,dire
8577745816,82.5,45.0,-21.0,360.0,obs,dire
8577745816,92.69999999999999,24.599999999999994,114.0,108.0,sen,dire
8578012189,34.900000000000006,99.19999999999999,82.0,420.0,sen,dire
8578012189,59.2,49.599999999999994,-22.0,360.0,obs,dire
8578012189,67.6,32.2,-16.0,360.0,obs,dire
8578012189,92.9,24.400000000000006,16.0,33.0,sen,dire
8580434959,27.299999999999997,92.4,16.0,420.0,sen,dire
8580434959,34.400000000000006,106.4,81.0,420.0,sen,dire
8580434959,11.5,99.19999999999999,201.0,67.0,sen,dire
8580434959,49.099999999999994,65.69999999999999,-24.0,361.0,obs,dire
8580434959,81.69999999999999,48.0,-57.0,360.0,obs,dire
8576076065,44.5,66.1,-18.0,360.0,obs,dire
8576076065,24.200000000000003,94.1,29.0,421.0,sen,dire
8576076065,34.3,106.30000000000001,63.0,421.0,sen,dire
8576076065,68.6,32.3,-25.0,361.0,obs,dire
8576076065,93.80000000000001,27.099999999999994,27.0,74.0,sen,dire
8548474254,18.900000000000006,94.6,71.0,148.0,sen,dire
8548474254,38.5,103.80000000000001,99.0,47.0,sen,dire
8548474254,34.400000000000006,106.30000000000001,211.0,420.0,sen,dire
8548474254,43.400000000000006,97.30000000000001,267.0,420.0,sen,dire
8548474254,66.80000000000001,52.5,-44.0,360.0,obs,dire
8548474254,93.5,27.099999999999994,114.0,102.0,sen,dire
8606484740,24.200000000000003,94.4,42.0,34.0,sen,dire
8606484740,63.7,64.0,-26.0,360.0,obs,dire
8606484740,112.19999999999999,24.299999999999997,300.0,11.0,obs,dire
8606484740,93.80000000000001,27.299999999999997,58.0,75.0,sen,dire
