match,x,y,time_s,lifetime_s,ward_type,side
8603895710,83.19999999999999,54.7,-27.0,324.0,obs,radiant
8603895710,57.400000000000006,58.099999999999994,22.0,77.0,sen,radiant
8603895710,96.69999999999999,28.0,86.0,61.0,sen,radiant
8603895710,104.1,36.099999999999994,115.0,29.0,sen,radiant
8603895710,97.5,30.700000000000003,225.0,420.0,sen,radiant
8603895710,57.599999999999994,58.3,148.0,43.0,sen,radiant
8603895710,34.599999999999994,99.5,166.0,153.0,sen,radiant
8537466319,93.5,27.900000000000006,104.0,420.0,sen,radiant
8537466319,97.5,33.3,193.0,37.0,sen,radiant
8537466319,97.30000000000001,33.400000000000006,295.0,420.0,sen,radiant
8537466319,61.900000000000006,56.099999999999994,-28.0,360.0,obs,radiant
8537466319,43.0,77.4,-60.0,360.0,obs,radiant
8537466319,53.2,66.80000000000001,-10.0,368.0,sen,radiant
