match,x,y,time_s,lifetime_s,ward_type,side
8446401276,91.4,58.900000000000006,-6.0,420.0,sen,dire
8446401276,64.30000000000001,64.9,16.0,360.0,obs,dire
8446401276,81.30000000000001,49.0,-57.0,360.0,obs,dire
8446401276,52.3,95.4,293.0,218.0,obs,dire
8446401276,28.700000000000003,93.30000000000001,22.0,166.0,sen,dire
8446401276,65.69999999999999,88.6,284.0,420.0,sen,dire
8449465357,49.099999999999994,87.1,249.0,360.0,obs,dire
8449465357,34.599999999999994,106.19999999999999,24.0,420.0,sen,dire
8449465357,24.299999999999997,94.1,32.0,68.0,sen,dire
8449465357,24.5,93.9,180.0,420.0,sen,dire
8449465357,34.3,72.1,242.0,420.0,sen,dire
8449465357,55.7,74.80000000000001,-22.0,360.0,obs,dire
8449465357,60.099999999999994,61.5,259.0,420.0,sen,dire
8449465357,82.9,48.7,-57.0,360.0,obs,dire
8449465357,90.4,57.2,-30.0,420.0,sen,dire
