match,x,y,time_s,lifetime_s,ward_type,side
8599091798,17.599999999999994,69.30000000000001,412.0,360.0,obs,dire
8599091798,47.5,96.30000000000001,514.0,360.0,obs,dire
8599091798,34.599999999999994,73.5,322.0,64.0,sen,dire
8599091798,34.7,73.19999999999999,403.0,128.0,sen,dire
8599091798,-2.200000000000003,61.8,488.0,420.0,sen,dire
8599091798,47.5,96.30000000000001,515.0,420.0,sen,dire
8599091798,28.400000000000006,98.0,638.0,300.0,sen,dire
8599091798,76.6,38.3,379.0,360.0,obs,dire
8599091798,124.9,12.700000000000003,463.0,420.0,sen,dire
8516930248,11.299999999999997,116.80000000000001,315.0,360.0,obs,dire
8516930248,70.0,48.3,602.0,194.0,obs,dire
8516930248,100.69999999999999,37.0,376.0,247.0,sen,dire
8516930248,49.599999999999994,93.0,439.0,420.0,sen,dire
8516930248,111.80000000000001,21.900000000000006,687.0,420.0,sen,dire
8516930248,61.5,74.6,410.0,65.0,obs,dire
8516930248,91.0,9.700000000000003,458.0,360.0,obs,dire
8516930248,67.30000000000001,57.3,609.0,420.0,sen,dire
8592272555,5.5,89.9,367.0,360.0,obs,dire
8592272555,26.200000000000003,91.6,391.0,420.0,sen,dire
8592272555,91.5,58.5,703.0,420.0,sen,dire
8592272555,62.8,63.400000000000006,513.0,360.0,obs,dire
8592272555,65.9,46.2,363.0,420.0,sen,dire
8592272555,44.599999999999994,80.4,362.0,360.0,obs,dire
8592272555,52.0,80.0,532.0,420.0,sen,dire
8528068483,109.1,24.0,335.0,361.0,obs,dire
8528068483,72.4,44.0,571.0,6.0,obs,dire
8528068483,104.4,36.400000000000006,320.0,420.0,sen,dire
8528068483,123.9,51.900000000000006,430.0,420.0,sen,dire
8528068483,90.9,57.400000000000006,505.0,420.0,sen,dire
8528068483,76.9,43.599999999999994,565.0,420.0,sen,dire
8528068483,51.0,26.700000000000003,692.0,420.0,sen,dire
8528068483,73.0,30.599999999999994,703.0,29.0,sen,dire
8528068483,67.4,45.7,343.0,21.0,obs,dire
8528068483,46.2,81.80000000000001,450.0,360.0,obs,dire
8528068483,23.700000000000003,82.4,409.0,90.0,sen,dire
8528068483,18.799999999999997,98.30000000000001,476.0,420.0,sen,dire
8528068483,52.8,68.9,671.0,420.0,sen,dire
8536499892,26.5,82.19999999999999,308.0,71.0,obs,dire
8536499892,47.8,76.9,481.0,360.0,obs,dire
8536499892,47.400000000000006,41.3,697.0,361.0,obs,dire
8536499892,34.7,73.30000000000001,466.0,63.0,sen,dire
8536499892,51.7,80.0,504.0,420.0,sen,dire
8536499892,120.9,7.5,590.0,420.0,sen,dire
8536499892,54.3,51.0,691.0,420.0,sen,dire
8536499892,59.900000000000006,38.2,333.0,132.0,obs,dire
8536499892,66.9,61.8,549.0,53.0,sen,dire
8446684731,54.3,29.799999999999997,492.0,40.0,obs,dire
8446684731,70.4,17.099999999999994,701.0,360.0,obs,dire
8446684731,78.5,48.3,349.0,420.0,sen,dire
8446684731,72.30000000000001,44.3,474.0,420.0,sen,dire
8446684731,54.0,30.400000000000006,680.0,146.0,sen,dire
8446684731,70.4,61.400000000000006,344.0,235.0,obs,dire
8446684731,74.30000000000001,11.0,544.0,420.0,sen,dire
8446684731,59.099999999999994,49.400000000000006,496.0,360.0,obs,dire
8446684731,26.900000000000006,89.80000000000001,562.0,81.0,obs,dire
8446684731,66.1,56.7,469.0,420.0,sen,dire
8446684731,56.7,65.4,541.0,420.0,sen,dire
8515655427,88.30000000000001,32.2,347.0,360.0,obs,dire
8515655427,62.099999999999994,94.19999999999999,507.0,360.0,obs,dire
8515655427,73.0,55.3,370.0,5.0,sen,dire
8515655427,28.299999999999997,92.4,572.0,94.0,sen,dire
8515655427,34.599999999999994,73.19999999999999,580.0,332.0,sen,dire
8515655427,61.3,74.69999999999999,405.0,360.0,obs,dire
8537408983,47.3,81.0,499.0,360.0,obs,dire
8537408983,53.7,54.0,702.0,361.0,obs,dire
8537408983,46.7,78.5,498.0,420.0,sen,dire
8537408983,54.5,55.599999999999994,702.0,383.0,sen,dire
8537408983,63.099999999999994,49.599999999999994,313.0,37.0,obs,dire
8537408983,65.6,50.7,316.0,36.0,sen,dire
8537408983,65.69999999999999,45.8,551.0,420.0,sen,dire
8537408983,79.30000000000001,49.900000000000006,343.0,360.0,obs,dire
8537408983,122.1,8.099999999999994,459.0,19.0,sen,dire
8537408983,64.9,59.2,534.0,420.0,sen,dire
8460035179,26.400000000000006,82.30000000000001,332.0,360.0,obs,dire
8460035179,61.5,78.6,372.0,420.0,sen,dire
8460035179,30.099999999999994,69.80000000000001,391.0,7.0,sen,dire
8460035179,31.299999999999997,71.1,406.0,274.0,sen,dire
8460035179,66.5,67.1,320.0,360.0,obs,dire
8460035179,61.0,61.7,324.0,420.0,sen,dire
8460035179,39.400000000000006,75.0,385.0,420.0,sen,dire
8460035179,109.4,38.0,528.0,420.0,sen,dire
8532316401,43.599999999999994,80.5,326.0,50.0,obs,dire
8532316401,18.200000000000003,102.5,560.0,360.0,obs,dire
8532316401,52.599999999999994,66.69999999999999,492.0,420.0,sen,dire
8532316401,45.099999999999994,77.69999999999999,523.0,421.0,sen,dire
8532316401,34.5,106.4,676.0,420.0,sen,dire
8532316401,81.30000000000001,48.2,331.0,360.0,obs,dire
8532316401,88.19999999999999,32.099999999999994,395.0,420.0,sen,dire
8532316401,33.900000000000006,72.4,517.0,137.0,sen,dire
8532316401,64.5,56.2,709.0,325.0,sen,dire
8461956309,43.900000000000006,66.4,351.0,360.0,obs,dire
8461956309,34.900000000000006,73.30000000000001,505.0,96.0,sen,dire
8461956309,53.599999999999994,64.6,560.0,58.0,sen,dire
8461956309,54.599999999999994,72.19999999999999,621.0,55.0,sen,dire
8461956309,59.7,67.4,435.0,224.0,obs,dire
8461956309,12.299999999999997,85.80000000000001,308.0,360.0,obs,dire
8461956309,109.80000000000001,37.3,570.0,420.0,sen,dire
8461956309,109.80000000000001,26.799999999999997,633.0,420.0,sen,dire
8525084966,28.599999999999994,78.9,340.0,360.0,obs,dire
8525084966,69.6,16.599999999999994,541.0,360.0,obs,dire
8525084966,34.7,73.1,369.0,119.0,sen,dire
8525084966,100.6,29.700000000000003,526.0,420.0,sen,dire
8525084966,72.0,35.0,557.0,185.0,sen,dire
8525084966,62.8,57.8,591.0,420.0,sen,dire
8525084966,68.0,45.900000000000006,347.0,258.0,obs,dire
8539982033,33.5,91.6,483.0,360.0,obs,dire
8539982033,26.599999999999994,98.6,437.0,420.0,sen,dire
8539982033,41.0,75.80000000000001,533.0,420.0,sen,dire
8539982033,100.80000000000001,29.599999999999994,714.0,420.0,sen,dire
8539982033,67.9,45.8,351.0,360.0,obs,dire
8539982033,53.7,29.799999999999997,353.0,137.0,obs,dire
8539982033,30.099999999999994,55.900000000000006,492.0,37.0,obs,dire
8539982033,54.5,29.900000000000006,351.0,142.0,sen,dire
8539982033,53.400000000000006,66.5,566.0,290.0,sen,dire
8539982033,25.299999999999997,81.6,586.0,420.0,sen,dire
