match,x,y,time_s,lifetime_s,ward_type,side
8548606633,104.19999999999999,43.0,383.0,273.0,obs,dire
8548606633,108.6,29.900000000000006,330.0,420.0,sen,dire
8548606633,98.6,29.799999999999997,524.0,420.0,sen,dire
8548606633,113.5,18.400000000000006,708.0,420.0,sen,dire
8548606633,49.2,97.5,407.0,360.0,obs,dire
8548606633,48.2,95.6,459.0,420.0,sen,dire
8532434830,44.8,52.5,310.0,360.0,obs,dire
8532434830,16.5,66.5,428.0,25.0,obs,dire
8532434830,0.29999999999999716,113.69999999999999,691.0,360.0,obs,dire
8532434830,34.599999999999994,73.5,332.0,19.0,sen,dire
8532434830,34.599999999999994,73.4,517.0,181.0,sen,dire
8532434830,103.9,61.099999999999994,398.0,360.0,obs,dire
8532434830,75.0,46.7,475.0,361.0,obs,dire
8532434830,69.1,56.8,471.0,420.0,sen,dire
8524964454,30.400000000000006,55.900000000000006,446.0,197.0,obs,dire
8524964454,72.4,44.3,683.0,360.0,obs,dire
8524964454,66.4,48.8,412.0,135.0,sen,dire
8524964454,88.69999999999999,57.599999999999994,666.0,420.0,sen,dire
8524964454,78.4,46.900000000000006,681.0,420.0,sen,dire
8524964454,108.19999999999999,36.8,705.0,420.0,sen,dire
8524964454,60.099999999999994,47.099999999999994,310.0,360.0,obs,dire
8524964454,113.80000000000001,56.3,451.0,420.0,sen,dire
8524964454,21.799999999999997,86.5,384.0,360.0,obs,dire
8451547891,79.80000000000001,8.0,462.0,360.0,obs,dire
8451547891,109.30000000000001,28.400000000000006,304.0,420.0,sen,dire
8451547891,100.69999999999999,37.2,327.0,11.0,sen,dire
8451547891,71.1,39.8,588.0,339.0,sen,dire
8451547891,96.30000000000001,68.4,704.0,421.0,sen,dire
8451547891,61.0,81.69999999999999,452.0,360.0,obs,dire
8451547891,75.30000000000001,57.0,434.0,61.0,sen,dire
8451547891,61.0,81.69999999999999,452.0,420.0,sen,dire
8451671758,43.599999999999994,80.80000000000001,350.0,360.0,obs,dire
8451671758,28.599999999999994,93.4,341.0,420.0,sen,dire
8451671758,59.8,65.9,375.0,46.0,sen,dire
8451671758,58.599999999999994,61.2,522.0,420.0,sen,dire
8451671758,73.69999999999999,60.099999999999994,481.0,360.0,obs,dire
8451671758,71.4,53.8,534.0,420.0,sen,dire
8451671758,95.5,45.2,325.0,360.0,obs,dire
8451671758,90.1,9.599999999999994,584.0,360.0,obs,dire
8451671758,112.0,34.3,393.0,420.0,sen,dire
8451671758,122.5,11.5,598.0,420.0,sen,dire
8598861477,47.099999999999994,78.4,350.0,361.0,obs,dire
8598861477,16.799999999999997,103.1,437.0,361.0,obs,dire
8598861477,101.4,25.900000000000006,697.0,14.0,sen,dire
8598861477,75.9,50.099999999999994,486.0,360.0,obs,dire
8598861477,109.1,35.2,342.0,420.0,sen,dire
8598861477,105.9,21.900000000000006,435.0,220.0,sen,dire
8598861477,60.099999999999994,69.69999999999999,617.0,13.0,sen,dire
8446311725,80.30000000000001,50.2,351.0,360.0,obs,dire
8446311725,95.30000000000001,17.299999999999997,718.0,360.0,obs,dire
8446311725,90.1,57.5,344.0,420.0,sen,dire
8446311725,97.0,68.69999999999999,563.0,420.0,sen,dire
8446311725,104.4,57.599999999999994,570.0,420.0,sen,dire
8446311725,102.80000000000001,29.900000000000006,712.0,420.0,sen,dire
8446311725,71.9,91.80000000000001,305.0,420.0,sen,dire
8446311725,109.0,36.900000000000006,600.0,3.0,sen,dire
8446311725,9.200000000000003,115.19999999999999,384.0,360.0,obs,dire
8446311725,61.099999999999994,81.9,684.0,360.0,obs,dire
8446311725,61.099999999999994,81.9,684.0,421.0,sen,dire
8460164236,109.0,21.099999999999994,309.0,360.0,obs,dire
8460164236,65.19999999999999,33.099999999999994,546.0,121.0,obs,dire
8460164236,17.400000000000006,102.9,698.0,360.0,obs,dire
8460164236,104.30000000000001,35.5,452.0,420.0,sen,dire
8460164236,65.9,47.8,540.0,420.0,sen,dire
8460164236,34.599999999999994,73.5,654.0,53.0,sen,dire
8460164236,44.7,55.0,494.0,360.0,obs,dire
8460164236,26.200000000000003,82.4,542.0,23.0,obs,dire
8460164236,54.099999999999994,67.80000000000001,484.0,420.0,sen,dire
8456886907,51.8,77.69999999999999,367.0,285.0,obs,dire
8456886907,41.7,91.69999999999999,661.0,360.0,obs,dire
8456886907,30.099999999999994,73.5,400.0,403.0,sen,dire
8456886907,28.599999999999994,93.5,697.0,331.0,sen,dire
8456886907,2.0,78.4,453.0,360.0,obs,dire
8456886907,2.0,78.30000000000001,452.0,420.0,sen,dire
8456886907,99.0,48.900000000000006,344.0,206.0,obs,dire
8456886907,71.6,58.0,374.0,238.0,sen,dire
8456886907,79.5,69.30000000000001,642.0,421.0,sen,dire
8515218704,129.1,16.0,546.0,360.0,obs,dire
8515218704,82.1,20.0,702.0,360.0,obs,dire
8515218704,1.2999999999999972,71.80000000000001,417.0,420.0,sen,dire
8515218704,108.30000000000001,33.400000000000006,523.0,420.0,sen,dire
8515218704,109.9,16.200000000000003,554.0,420.0,sen,dire
8515218704,89.9,46.3,320.0,31.0,obs,dire
8515218704,99.69999999999999,48.900000000000006,406.0,360.0,obs,dire
8515218704,38.0,95.0,570.0,360.0,obs,dire
8515218704,90.4,57.3,351.0,420.0,sen,dire
8515218704,30.5,102.30000000000001,545.0,253.0,sen,dire
8602105739,10.299999999999997,116.30000000000001,319.0,251.0,obs,dire
8602105739,65.9,33.0,590.0,48.0,obs,dire
8602105739,35.0,92.80000000000001,685.0,360.0,obs,dire
8602105739,123.9,52.2,441.0,420.0,sen,dire
8602105739,28.299999999999997,97.69999999999999,680.0,420.0,sen,dire
8602105739,43.599999999999994,66.30000000000001,365.0,360.0,obs,dire
8602105739,51.2,63.2,364.0,420.0,sen,dire
8602105739,72.4,42.7,445.0,26.0,obs,dire
8602105739,107.80000000000001,37.099999999999994,374.0,20.0,sen,dire
8602105739,90.19999999999999,57.3,534.0,420.0,sen,dire
8458460625,26.200000000000003,82.19999999999999,390.0,56.0,obs,dire
8458460625,77.19999999999999,25.200000000000003,511.0,214.0,obs,dire
8458460625,26.200000000000003,81.9,389.0,54.0,sen,dire
8458460625,76.5,27.799999999999997,509.0,219.0,sen,dire
8458460625,64.0,45.8,603.0,313.0,sen,dire
8458460625,78.4,57.8,307.0,361.0,obs,dire
8458460625,108.80000000000001,22.799999999999997,349.0,360.0,obs,dire
8458460625,88.5,32.3,331.0,420.0,sen,dire
8458460625,87.19999999999999,55.099999999999994,581.0,379.0,sen,dire
