match,x,y,time_s,lifetime_s,ward_type,side
8461854486,101.80000000000001,45.7,313.0,360.0,obs,radiant
8461854486,64.30000000000001,82.19999999999999,565.0,29.0,obs,radiant
8461854486,87.80000000000001,54.3,451.0,141.0,sen,radiant
8461854486,60.599999999999994,74.80000000000001,487.0,28.0,sen,radiant
8461854486,56.599999999999994,88.0,568.0,420.0,sen,radiant
8461854486,79.30000000000001,48.5,677.0,420.0,sen,radiant
8461854486,53.900000000000006,127.1,585.0,181.0,obs,radiant
8461854486,32.2,68.1,309.0,420.0,sen,radiant
8461854486,33.7,95.1,445.0,420.0,sen,radiant
8458323214,93.4,61.400000000000006,685.0,238.0,sen,radiant
8458323214,60.5,73.4,333.0,360.0,obs,radiant
8458323214,60.599999999999994,73.6,334.0,420.0,sen,radiant
8458323214,36.400000000000006,72.30000000000001,344.0,166.0,obs,radiant
8458323214,46.599999999999994,79.0,379.0,420.0,sen,radiant
8449657829,100.1,61.599999999999994,493.0,420.0,sen,radiant
8449657829,60.2,30.900000000000006,562.0,420.0,sen,radiant
8449657829,75.4,33.0,578.0,420.0,sen,radiant
8449657829,128.2,64.4,685.0,420.0,sen,radiant
8449657829,64.6,45.900000000000006,456.0,361.0,obs,radiant
8449657829,30.099999999999994,55.8,446.0,360.0,obs,radiant
8449657829,51.7,80.1,386.0,420.0,sen,radiant
8449657829,36.900000000000006,67.4,500.0,31.0,sen,radiant
8449657829,53.8,65.0,564.0,7.0,sen,radiant
8449657829,64.1,56.599999999999994,684.0,420.0,sen,radiant
8511224972,70.0,48.099999999999994,353.0,781.0,obs,radiant
8511224972,109.19999999999999,25.400000000000006,531.0,360.0,obs,radiant
8511224972,92.5,70.69999999999999,389.0,360.0,obs,radiant
8511224972,34.599999999999994,58.599999999999994,303.0,293.0,obs,radiant
8511224972,26.0,67.0,564.0,13.0,sen,radiant
8511224972,2.5999999999999943,60.400000000000006,591.0,420.0,sen,radiant
8446788561,52.2,103.80000000000001,594.0,360.0,obs,radiant
8446788561,59.900000000000006,66.0,343.0,16.0,sen,radiant
8446788561,25.0,85.19999999999999,486.0,420.0,sen,radiant
8446788561,43.2,99.6,533.0,420.0,sen,radiant
8446788561,71.80000000000001,91.80000000000001,603.0,295.0,sen,radiant
8446788561,43.5,66.4,366.0,360.0,obs,radiant
8446788561,36.3,72.0,349.0,420.0,sen,radiant
