match,x,y,time_s,lifetime_s,ward_type,side
8582522954,79.30000000000001,36.8,335.0,360.0,obs,dire
8582522954,66.0,45.900000000000006,342.0,420.0,sen,dire
8582522954,102.6,30.0,631.0,420.0,sen,dire
8582522954,104.30000000000001,13.0,650.0,23.0,sen,dire
8582522954,63.400000000000006,64.69999999999999,321.0,360.0,obs,dire
8582522954,41.400000000000006,71.1,403.0,420.0,sen,dire
8582522954,109.19999999999999,22.799999999999997,512.0,65.0,sen,dire
8582522954,23.0,95.4,460.0,420.0,sen,dire
8582522954,26.200000000000003,82.30000000000001,617.0,420.0,sen,dire
8582522954,101.69999999999999,11.299999999999997,650.0,4.0,sen,dire
8527782901,1.9000000000000057,78.19999999999999,430.0,14.0,obs,dire
8527782901,72.30000000000001,44.400000000000006,602.0,360.0,obs,dire
8527782901,2.0,78.0,428.0,12.0,sen,dire
8527782901,23.700000000000003,99.9,488.0,420.0,sen,dire
8527782901,100.80000000000001,29.599999999999994,566.0,420.0,sen,dire
8527782901,113.9,28.5,577.0,420.0,sen,dire
8527782901,67.1,68.19999999999999,452.0,360.0,obs,dire
8527782901,67.5,56.2,462.0,420.0,sen,dire
8527782901,56.5,66.4,591.0,420.0,sen,dire
8540189130,45.3,66.19999999999999,435.0,66.0,obs,dire
8540189130,28.400000000000006,92.19999999999999,325.0,420.0,sen,dire
8540189130,53.900000000000006,70.19999999999999,433.0,420.0,sen,dire
8540189130,65.69999999999999,59.2,592.0,420.0,sen,dire
8540189130,92.9,24.5,617.0,78.0,sen,dire
8540189130,64.80000000000001,65.1,585.0,361.0,obs,dire
8540189130,123.6,52.0,405.0,360.0,obs,dire
8540189130,112.4,22.0,519.0,360.0,obs,dire
8514117469,59.7,76.9,350.0,370.0,sen,dire
8514117469,47.2,83.69999999999999,628.0,16.0,sen,dire
8514117469,65.1,32.900000000000006,710.0,53.0,sen,dire
8514117469,86.1,53.400000000000006,319.0,361.0,obs,dire
8514117469,8.0,103.9,360.0,360.0,obs,dire
8514117469,65.80000000000001,38.3,680.0,27.0,obs,dire
8514117469,20.0,98.19999999999999,512.0,420.0,sen,dire
8514117469,72.0,39.3,674.0,420.0,sen,dire
8592220102,46.599999999999994,77.69999999999999,432.0,360.0,obs,dire
8592220102,34.7,73.19999999999999,321.0,66.0,sen,dire
8592220102,22.700000000000003,60.599999999999994,330.0,48.0,sen,dire
8592220102,34.7,73.30000000000001,426.0,107.0,sen,dire
8592220102,34.5,73.19999999999999,635.0,202.0,sen,dire
8592220102,91.30000000000001,59.2,717.0,420.0,sen,dire
8592220102,109.6,19.400000000000006,459.0,360.0,obs,dire
8592220102,107.80000000000001,37.2,440.0,420.0,sen,dire
8592220102,90.1,57.400000000000006,587.0,121.0,sen,dire
