match,x,y,time_s,lifetime_s,ward_type,side
8446401276,80.69999999999999,55.7,306.0,57.0,obs,dire
8446401276,83.69999999999999,54.400000000000006,379.0,420.0,sen,dire
8446401276,93.9,60.400000000000006,710.0,420.0,sen,dire
8446401276,61.400000000000006,74.9,452.0,360.0,obs,dire
8446401276,61.400000000000006,74.9,452.0,420.0,sen,dire
8446401276,88.5,32.400000000000006,712.0,48.0,obs,dire
8446401276,94.5,32.5,711.0,359.0,sen,dire
8449465357,26.5,81.69999999999999,542.0,57.0,obs,dire
8449465357,25.900000000000006,66.9,538.0,308.0,sen,dire
8449465357,66.9,67.6,476.0,360.0,obs,dire
8449465357,94.0,54.3,716.0,420.0,sen,dire
8449465357,90.1,65.1,387.0,361.0,obs,dire
8449465357,52.7,91.80000000000001,345.0,420.0,sen,dire
8449465357,94.69999999999999,60.599999999999994,469.0,420.0,sen,dire
8449465357,41.3,72.4,695.0,420.0,sen,dire
