match,x,y,time_s,lifetime_s,ward_type,side
8578965230,31.200000000000003,100.1,29.0,2.0,sen,radiant
8578965230,92.30000000000001,24.200000000000003,18.0,420.0,sen,radiant
8578965230,101.0,36.599999999999994,143.0,420.0,sen,radiant
8578965230,46.2,66.4,-8.0,360.0,obs,radiant
8578965230,55.8,66.69999999999999,194.0,268.0,sen,radiant
8566115708,72.5,32.400000000000006,-33.0,360.0,obs,radiant
8566115708,97.9,33.900000000000006,15.0,21.0,sen,radiant
8566115708,100.6,35.900000000000006,58.0,420.0,sen,radiant
8566115708,92.19999999999999,24.200000000000003,147.0,145.0,sen,radiant
8566115708,35.400000000000006,99.5,21.0,86.0,sen,radiant
8566115708,35.400000000000006,99.5,212.0,22.0,sen,radiant
8566115708,28.599999999999994,92.30000000000001,292.0,323.0,sen,radiant
8566115708,83.19999999999999,54.7,-22.0,360.0,obs,radiant
