match,x,y,time_s,lifetime_s,ward_type,side
8605323294,49.8,96.9,-16.0,360.0,obs,dire
8605323294,93.6,27.200000000000003,43.0,43.0,sen,dire
8605323294,92.80000000000001,24.900000000000006,218.0,19.0,sen,dire
8605323294,38.5,103.4,11.0,420.0,sen,dire
8605323294,59.2,50.099999999999994,-27.0,360.0,obs,dire
8605190938,93.9,27.099999999999994,32.0,22.0,sen,dire
8605190938,93.0,24.700000000000003,82.0,87.0,sen,dire
8605190938,51.8,84.6,-15.0,360.0,obs,dire
8605190938,55.8,89.4,-7.0,420.0,sen,dire
8605190938,23.400000000000006,98.30000000000001,57.0,7.0,sen,dire
8605190938,28.799999999999997,98.30000000000001,182.0,420.0,sen,dire
8605190938,66.1,63.400000000000006,-31.0,360.0,obs,dire
8605190938,57.5,63.400000000000006,252.0,112.0,sen,dire
