match,x,y,time_s,lifetime_s,ward_type,side
8527608636,93.69999999999999,27.099999999999994,95.0,120.0,sen,dire
8527608636,103.1,34.599999999999994,97.0,17.0,sen,dire
8527608636,48.7,95.80000000000001,-52.0,360.0,obs,dire
8527608636,33.900000000000006,105.9,110.0,403.0,sen,dire
8527608636,68.69999999999999,61.3,-12.0,360.0,obs,dire
8527608636,56.900000000000006,65.30000000000001,161.0,420.0,sen,dire
8517060495,48.5,96.0,-59.0,360.0,obs,dire
8517060495,93.9,27.099999999999994,28.0,79.0,sen,dire
8517060495,92.9,24.5,175.0,9.0,sen,dire
8517060495,24.200000000000003,94.0,13.0,53.0,sen,dire
8517060495,25.700000000000003,94.19999999999999,112.0,181.0,sen,dire
8517060495,36.7,105.1,190.0,420.0,sen,dire
8448084548,23.900000000000006,66.69999999999999,-22.0,272.0,sen,dire
8448084548,31.299999999999997,72.1,-19.0,194.0,sen,dire
8448084548,34.2,106.4,142.0,7.0,sen,dire
8448084548,33.900000000000006,106.19999999999999,231.0,420.0,sen,dire
8448084548,45.8,77.69999999999999,-23.0,360.0,obs,dire
8448084548,56.8,46.5,-51.0,360.0,obs,dire
8448084548,95.1,25.900000000000006,44.0,128.0,sen,dire
8600597494,49.2,96.69999999999999,-51.0,360.0,obs,dire
8600597494,24.5,93.69999999999999,14.0,162.0,sen,dire
8600597494,34.2,106.19999999999999,91.0,421.0,sen,dire
8600597494,98.6,27.5,43.0,208.0,sen,dire
8600597494,77.69999999999999,57.599999999999994,-31.0,360.0,obs,dire
8527489896,48.2,96.9,-21.0,360.0,obs,dire
8527489896,93.19999999999999,27.0,58.0,19.0,sen,dire
8527489896,92.80000000000001,24.799999999999997,158.0,7.0,sen,dire
8527489896,24.700000000000003,93.69999999999999,18.0,420.0,sen,dire
8527489896,34.599999999999994,105.80000000000001,113.0,74.0,sen,dire
8527489896,33.7,106.0,219.0,420.0,sen,dire
8527489896,51.7,78.1,-54.0,360.0,obs,dire
8569237006,52.7,93.9,21.0,360.0,obs,dire
8569237006,27.400000000000006,92.4,35.0,200.0,sen,dire
8569237006,34.3,105.9,205.0,421.0,sen,dire
8569237006,66.30000000000001,36.2,-17.0,360.0,obs,dire
8569237006,73.69999999999999,30.200000000000003,253.0,243.0,obs,dire
8569237006,103.1,36.7,21.0,420.0,sen,dire
8569237006,92.69999999999999,24.599999999999994,77.0,148.0,sen,dire
8569237006,95.5,25.599999999999994,241.0,122.0,sen,dire
