match,x,y,time_s,lifetime_s,ward_type,side
8560413451,66.9,65.30000000000001,-21.0,360.0,obs,dire
8560413451,49.2,96.69999999999999,-36.0,360.0,obs,dire
8560413451,114.6,21.5,64.0,72.0,sen,dire
8560413451,93.80000000000001,27.099999999999994,159.0,420.0,sen,dire
8560413451,103.5,35.0,235.0,49.0,sen,dire
8560413451,22.900000000000006,60.099999999999994,-16.0,421.0,sen,dire
8560413451,28.700000000000003,98.30000000000001,90.0,82.0,sen,dire
8560413451,28.799999999999997,98.4,258.0,12.0,sen,dire
8579245952,92.9,24.700000000000003,60.0,35.0,sen,dire
8579245952,92.80000000000001,24.799999999999997,180.0,104.0,sen,dire
8579245952,71.9,29.5,-18.0,360.0,obs,dire
8579245952,23.5,95.1,49.0,284.0,sen,dire
8579245952,34.900000000000006,105.9,296.0,421.0,sen,dire
8579245952,83.0,54.8,-9.0,360.0,obs,dire
8579245952,60.099999999999994,62.0,250.0,157.0,sen,dire
8536705879,50.099999999999994,95.6,-39.0,360.0,obs,dire
8536705879,26.900000000000006,92.30000000000001,24.0,420.0,sen,dire
8536705879,34.2,106.0,95.0,420.0,sen,dire
8536705879,63.2,59.099999999999994,-57.0,420.0,sen,dire
8536705879,95.5,26.0,38.0,55.0,sen,dire
8536705879,95.5,26.0,196.0,30.0,sen,dire
8536705879,66.9,46.0,-52.0,360.0,obs,dire
8536705879,63.400000000000006,63.099999999999994,254.0,360.0,obs,dire
8536705879,57.2,64.69999999999999,256.0,420.0,sen,dire
8568316530,48.8,95.80000000000001,-17.0,361.0,obs,dire
8568316530,92.9,24.700000000000003,88.0,8.0,sen,dire
8568316530,38.5,103.80000000000001,14.0,420.0,sen,dire
8568316530,22.700000000000003,59.7,287.0,420.0,sen,dire
8568316530,47.5,61.900000000000006,296.0,420.0,sen,dire
8568316530,61.599999999999994,69.19999999999999,-20.0,267.0,obs,dire
8568316530,59.599999999999994,62.2,175.0,420.0,sen,dire
8578108612,24.200000000000003,94.1,23.0,368.0,sen,dire
8578108612,34.0,106.1,139.0,212.0,sen,dire
8578108612,80.5,19.599999999999994,-25.0,360.0,obs,dire
8578108612,100.0,36.400000000000006,-4.0,112.0,sen,dire
8578108612,103.4,36.3,149.0,29.0,sen,dire
8578108612,68.19999999999999,62.0,-21.0,275.0,obs,dire
8529291504,93.69999999999999,27.200000000000003,54.0,163.0,sen,dire
8529291504,38.3,95.30000000000001,-44.0,360.0,obs,dire
8529291504,34.5,73.5,-54.0,420.0,sen,dire
8529291504,123.0,11.299999999999997,290.0,420.0,sen,dire
8529291504,59.900000000000006,69.9,-44.0,360.0,obs,dire
8529291504,55.2,70.69999999999999,223.0,97.0,sen,dire
