match,x,y,time_s,lifetime_s,ward_type,side
8514376804,48.900000000000006,96.4,-58.0,360.0,obs,dire
8514376804,93.9,27.099999999999994,25.0,72.0,sen,dire
8514376804,100.6,36.0,88.0,143.0,sen,dire
8514376804,93.0,22.799999999999997,160.0,420.0,sen,dire
8514376804,100.30000000000001,36.2,255.0,231.0,sen,dire
8514376804,35.599999999999994,106.5,25.0,420.0,sen,dire
8514376804,60.900000000000006,62.599999999999994,279.0,251.0,sen,dire
8548286989,49.099999999999994,97.30000000000001,-19.0,360.0,obs,dire
8548286989,93.80000000000001,27.0,18.0,194.0,sen,dire
8548286989,104.0,35.2,159.0,207.0,sen,dire
8548286989,43.5,81.0,220.0,360.0,obs,dire
8548286989,38.5,103.4,28.0,420.0,sen,dire
8548286989,52.5,68.19999999999999,228.0,7.0,sen,dire
8548286989,68.69999999999999,61.3,-23.0,360.0,obs,dire
8548286989,60.3,61.900000000000006,219.0,4.0,sen,dire
8446788561,52.7,83.80000000000001,-16.0,360.0,obs,dire
8446788561,10.599999999999994,116.6,280.0,360.0,obs,dire
8446788561,59.5,66.0,-18.0,5.0,sen,dire
8446788561,24.099999999999994,94.30000000000001,16.0,420.0,sen,dire
8446788561,33.599999999999994,106.1,294.0,420.0,sen,dire
8446788561,56.400000000000006,66.6,198.0,420.0,sen,dire
8446788561,56.0,39.900000000000006,-42.0,360.0,obs,dire
8446788561,115.0,27.200000000000003,33.0,12.0,sen,dire
8446788561,117.6,29.099999999999994,192.0,37.0,sen,dire
8569161346,49.599999999999994,97.5,-22.0,360.0,obs,dire
8569161346,34.3,106.1,28.0,420.0,sen,dire
8569161346,95.5,25.799999999999997,26.0,420.0,sen,dire
8569161346,104.1,36.5,55.0,13.0,sen,dire
8569161346,98.4,36.8,109.0,420.0,sen,dire
8569161346,93.69999999999999,56.7,197.0,207.0,sen,dire
8569161346,65.30000000000001,66.1,-25.0,360.0,obs,dire
8569161346,58.900000000000006,61.5,233.0,116.0,sen,dire
